HeadQuarter,Amount
Ahmadabad,2800000.0
Ahmedabad,207239000.0
Andheri,3000000.0
Bangaldesh,22000000.0
Bangalore,10411528130.0
Bangkok,9000000.0
Banglore,32000000.0
Berlin,170000000.0
Bhilwara,8000000.0
Bihar,329000.0
California,78300000.0
Chandigarh,23500000.0
Chennai,563213000.0
Cochin,200000.0
Coimbatore,6400000.0
Delhi,133713400.0
"Faridabad, Haryana",7500000.0
Food & Beverages,922000.0
Gandhinagar,200000.0
Ghaziabad,4000000.0
Goa,648000.0
Gujarat,24100000.0
Gurgaon,75975000.0
Gurugram,2357420000.0
Haryana,303400000.0
Hyderabad,227980000.0
Indore,2200000.0
Information Technology & Services,75000000.0
"Irvine, California, United States",500000.0
Jaipur,109750000.0
"Jaipur, Rajastan",1900000.0
Jodhpur,1200000.0
Kanpur,1400000.0
Kochi,3900000.0
Kolkata,50100000.0
Mumbai,2418014900.0
Nagpur,350000.0
New Delhi,1486485000.0
New York,4000000.0
"New York, United States",4500000.0
Noida,188460000.0
Panaji,1000000.0
Patna,30000000.0
"Plano, Texas, United States",3000000.0
Powai,400000.0
Pune,1026501000.0
Ranchi,100000.0
"Samastipur, Bihar",5000000.0
Samsitpur,3000000.0
San Francisco,84000000.0
"San Francisco Bay Area, West Coast, Western US",55000000.0
"San Francisco, California, United States",29500000.0
"San Ramon, California",150000000.0
Seattle,1100000.0
Seoul,1400000.0
Silvassa,1000000.0
Singapore,11480000.0
"Small Towns, Andhra Pradesh",800000.0
Surat,100000.0
"Tangerang, Jawa Barat, Indonesia",12000000.0
Telangana,4000000.0
Telugana,1500000.0
Thane,258725000.0
The Nilgiris,200000.0
Trivandrum,300000.0
