Round/Series,mean,median,sum,count
Bridge,2083333.3333333333,750000.0,12500000.0,6
Debt,13652837.209302325,6000000.0,587072000.0,43
Edge,5040000.0,5040000.0,5040000.0,1
Mid series,500000.0,500000.0,500000.0,1
PE,100000000.0,100000000.0,100000000.0,1
Pre Series A,1461400.0,1234200.0,8768400.0,6
Pre series A,1798454.5454545454,1500000.0,39566000.0,22
Pre series B,6641000.0,6641000.0,13282000.0,2
Pre series C,2743000.0,2743000.0,2743000.0,1
Pre- series A,3400000.0,3400000.0,3400000.0,1
Pre-Series B,8000000.0,8000000.0,16000000.0,2
Pre-seed,650697.6744186047,330000.0,27980000.0,43
Pre-series,8000000.0,8000000.0,8000000.0,1
Pre-series A,2441226.993865031,1300000.0,397920000.0,163
Pre-series A1,700000.0,350000.0,2800000.0,4
Pre-series B,6315384.615384615,3500000.0,82100000.0,13
Pre-series C,22000000.0,22000000.0,44000000.0,2
Seed,2975594.1422594143,1000000.0,711167000.0,239
Seed A,1000000.0,1000000.0,1000000.0,1
Seed Funding,982530.0,982530.0,982530.0,1
Seed Round,925015.7894736842,600000.0,17575300.0,19
Seed Round & Series A,2800000.0,2800000.0,2800000.0,1
Seed funding,453450.0,453450.0,906900.0,2
Seed round,2303333.3333333335,1650000.0,13820000.0,6
Seed+,1300000.0,1300000.0,1300000.0,1
Seies A,3000000.0,3000000.0,3000000.0,1
Series A,12164511.602209944,6000000.0,2201776600.0,181
Series A+,8500000.0,8500000.0,8500000.0,1
Series A-1,1000000.0,1000000.0,1000000.0,1
Series A2,15000000.0,15000000.0,15000000.0,1
Series B,31998340.90909091,20000000.0,2815854000.0,88
Series B2,11000000.0,11000000.0,22000000.0,2
Series B3,14300000.0,14300000.0,14300000.0,1
Series C,51036459.75609756,37500000.0,4184989700.0,82
Series D,77521750.0,65000000.0,3100870000.0,40
Series D1,23483500.0,23483500.0,46967000.0,2
Series E,133788238.09523809,100000000.0,2809553000.0,21
Series E2,26500000.0,26500000.0,26500000.0,1
Series F,168320000.0,115000000.0,1683200000.0,10
Series F1,7000000.0,7000000.0,7000000.0,1
Series F2,5000000.0,5000000.0,5000000.0,1
Series G,266000000.0,266000000.0,266000000.0,1
Series H,437500000.0,270000000.0,1312500000.0,3
Series I,76000000.0,76000000.0,76000000.0,1
